"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"82910";"RIO DO SUL";"82910";"RIO DO SUL";"26";"13";"Vereador";"Coligação";"40";"PSB";"Partido Socialista Brasileiro";"240000001330";"Confiança no Amanhã";"PSD / PROS / PSB";"N";"598";"10"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"80004";"MONTE CARLO";"80004";"MONTE CARLO";"77";"11";"Prefeito";"Coligação";"45";"PSDB";"Partido da Social Democracia Brasileira";"240000000939";"Um jeito novo de governar";"PSDB / PP / PC do B / PT";"N";"3248";"0"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"82651";"PORTO BELO";"82651";"PORTO BELO";"91";"13";"Vereador";"Coligação";"11";"PP";"Partido Progressista";"240000000826";"PORTO BELO PARA TODOS (VEREADORES)";"PRB / PP / PT / DEM / PV / PEN";"N";"702";"59"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"81655";"ITAPIRANGA";"81655";"ITAPIRANGA";"65";"11";"Prefeito";"Coligação";"15";"PMDB";"Partido do Movimento Democrático Brasileiro";"240000000459";"MUDAR PARA FAZER MAIS E MELHOR";"PMDB / PSDB / PR";"N";"6328";"0"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"81876";"LAURENTINO";"81876";"LAURENTINO";"102";"13";"Vereador";"Coligação";"11";"PP";"Partido Progressista";"240000000884";"A MUDANÇA NA MÃO DO POVO";"PSDB / PSL / PP / PSB / PTB";"N";"383";"18"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"80683";"BALNEÁRIO BARRA DO SUL";"80683";"BALNEÁRIO BARRA DO SUL";"27";"13";"Vereador";"Coligação";"13";"PT";"Partido dos Trabalhadores";"240000000367";"PT / PP";"PT / PP";"N";"318";"13"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"80071";"ÁGUA DOCE";"80071";"ÁGUA DOCE";"85";"11";"Prefeito";"Coligação";"11";"PP";"Partido Progressista";"240000000606";"JUNTOS POR AGUA DOCE";"PP / PSDB / PSD";"N";"1982";"0"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"81680";"TIGRINHOS";"81680";"TIGRINHOS";"58";"13";"Vereador";"Coligação";"13";"PT";"Partido dos Trabalhadores";"240000000714";"TIGRINHOS PARA TODOS";"PMDB / PT";"N";"56";"0"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"81264";"PAINEL";"81264";"PAINEL";"21";"13";"Vereador";"Coligação";"45";"PSDB";"Partido da Social Democracia Brasileira";"240000001315";"UNIDOS PARA O POVO";"PP / PPS / PSDB";"N";"143";"3"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"81477";"INDAIAL";"81477";"INDAIAL";"15";"13";"Vereador";"Coligação";"40";"PSB";"Partido Socialista Brasileiro";"240000000704";"PP/PSC/DEM/SD/PR/PSB";"PP / DEM / PSC / SD / PR / PSB";"N";"789";"12"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"83577";"TIMBÓ";"83577";"TIMBÓ";"32";"13";"Vereador";"Coligação";"25";"DEM";"Democratas";"240000000726";"PP - PSB - PR - PROS - DEM";"PP / PR / PSB / PROS / DEM";"N";"0";"9"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"82953";"RIO NEGRINHO";"82953";"RIO NEGRINHO";"74";"13";"Vereador";"Coligação";"22";"PR";"Partido da República";"240000001258";"Para Rio Negrinho Voltar a Crescer";"PP / PT / PSC / PR";"N";"260";"16"
